title,price,description,link,Image,categorie
ROGÉ CAVAILLÈS CRÈME DE DOUCHE KARITÉ & MAGNOLIA 750ML,25.650 TND TTC,"Cette Crème de Douche au Magnolia permet de combiner plaisir et hydratation pour votre peau sensible lors de votre douche.Cette Crème Douche Hydratante associe les vertus nourrissantes du beurre de Karité, des agents surgras et les propriétés des fleurs de Magnolia afin de nourrir intensément votre peau.Votre peau s’adoucit et s’assouplit au fil des jours afin de vous apporter douceur et réconfort.",https://anais.tn/produit/roge-cavailles-creme-de-douche-karite-magnolia-750ml/,https://anais.tn/wp-content/uploads/2020/08/creme-de-douche-karite-magnolia-roge-cavailles-compressed.jpg,Corps
ROGÉ CAVAILLÈS CRÈME MAINS DOUCEUR 50ML,18.990 TND TTC,"Cette Crème pour Mains Abîmées par les agressions extérieures, enrichie en Surgras Vitaminé, prend soin de vos mains et hydrate votre peau en profondeur. Cette Crème pour les Mains est composée à 97% d’actifs d’origine naturelle.Les mains sont les premières à être exposées aux agressions extérieures et ont besoin d’être hydratées aussi souvent que nécessaire.",https://anais.tn/produit/roge-cavailles-creme-mains-douceur-50ml/,https://anais.tn/wp-content/uploads/2020/08/roge-cavailles-nutrissance-creme-mains-douceur-50ml-f1200-f1200.jpg,Corps
ROGÉ CAVAILLÈS CRÈME MAINS NOURRISSANTE 50 ML,18.980 TND TTC,"Cette Crème Mains Nourrissante, enrichie en Surgras Vitaminé, prend soin de vos mains et hydrate votre peau en profondeur. Elle est composée de 97% d’actifs d’origine naturelle.",https://anais.tn/produit/roge-cavailles-creme-mains-nourrissante-50-ml/,https://anais.tn/wp-content/uploads/2020/08/51BXxe2qnFL._SL1000_.jpg,Corps
ROGÉ CAVAILLÈS DÉODORANT DERMATO ANTI-ODEURS SPRAY 150ML,29.800 TND TTC,"Doté d’une formule douce à haute tolérance cutanée, le spray Dermato de Rogé Cavaillès est un déodorant sans aluminium adapté aux peaux sensibles et intolérantes. Grâce à ses propriétés absorbantes et purifiantes, il combat la transpiration et prévient la formation des mauvaises odeurs.",https://anais.tn/produit/roge-cavailles-deodorant-dermato-anti-odeurs-spray-150ml/,https://anais.tn/wp-content/uploads/2020/09/ROGECAVAILLESDEOSOINDERMATOSPRAYSANSSELD_ALUMINIUM150ML_1000x.jpg,Corps
ROGÉ CAVAILLÈS DERMO UHT CRÈME LAVANTE SURGRAS 500ML,39.990 TND TTC,"Spécialement formulée pour les peaux sèches à très sèches, cette Crème Lavante Surgras pour Peaux Très Sèches et Autopiques assure un respect et une protection optimale.Développé avec des dermatologues, ce Soin Peau Autopique ne contient que des ingrédients sélectionnés avec attention, notamment des agents lavants choisis pour leur douceur.",https://anais.tn/produit/roge-cavailles-dermo-uht-creme-lavante-surgras-500ml/,https://anais.tn/wp-content/uploads/2020/09/ROGECAVAILLESDERMO-U.H.T.CREMELAVANTESURGRAS500ML_1000x.jpg,Corps
ROGÉ CAVAILLÈS DERMO-U.H.T HUILE LAVANTE SURGRAS 500ML,40.500 TND TTC,"Formulé spécialement pour les peaux très sèches à tendance autopique, l’huile lavante surgras Dermo- UHT (Ultra Haute Tolérance) Rogé Cavaillès restaure le film hydrolipidique de votre épiderme et hydrate intensément votre peau tout en la respectant au maximum. ",https://anais.tn/produit/roge-cavailles-dermo-u-h-t-huile-lavante-surgras-500ml/,https://anais.tn/wp-content/uploads/2020/09/dermo-uht-creme-lavante-surgras-roge-cavailles-compressed.jpg,Corps
ROGÉ CAVAILLÈS DERMO-U.H.T PAIN SURGRAS 100G,16.500 TND TTC,Le Pain Ultra Haute Tolérance Dermo-U.H.T est spécifiquement adapté à l’hygiène des peaux sensibles à sèches des adultes.Il peut être utilisé quotidiennement sur le visage et le corps.,https://anais.tn/produit/roge-cavailles-dermo-u-h-t-pain-surgras-100g/,https://anais.tn/wp-content/uploads/2020/09/roge-cavailles-dermo-uht-pain-surgras-100g-f1200-f1200-compressed.jpg,Corps
ROGÉ CAVAILLÈS GEL DOUCHE EXTRA-DOUX AMANDE DOUCE 200ML,22.500 TND TTC,"Le Gel Douche Extra-doux Amande Douce est spécialement formulé pour nettoyer en douceur les peaux délicates et sensibles de toute votre famille.Avec son huile d’amande douce 100% naturelle aux propriétés apaisantes et adoucissantes, ce Gel Bain Douche nettoie délicatement votre peau et aide à la protéger des agressions extérieures.",https://anais.tn/produit/roge-cavailles-gel-douche-extra-doux-amande-douce-200ml-2/,https://anais.tn/wp-content/uploads/2020/09/gel-douche-extra-doux-amande-douce-roge-cavailles-compressed.jpg,Corps
SESDERMA REPASKIN DRY TOUCH SPF50,76.900 TND TTC,"When it comes to skin protection, nothing is ever enough. Repaskin Dry Touch protects and repairs. Its light, dry-touch texture absorbs quickly and helps prevent sun damage with its SPF 50 UVA/UVB/IR-A.",https://anais.tn/produit/sesderma-repaskin-dry-touch-spf50/,https://anais.tn/wp-content/uploads/2020/05/REPASKIN-Dry-touch-SPF-50.png,Corps
SO BIO HUILE DE BAIN ET MASSAGE,37.990 TND TTC,"Grâce à sa richesse en huile d’argan et en huiles essentielles d’ylang-ylang, bergamote, et bois de Hô, cette huile de bain et massage vous apportera douceur et volupté lors d’un fabuleux moment de bien-êtreFormulé avec: huile d’argan, huiles essentielles d’ylang-ylang, bergamote et bois de HôTesté sous contrôle dermatologique",https://anais.tn/produit/huile-de-bain-et-massage/,https://anais.tn/wp-content/uploads/2020/10/compressed-okwc.png,Corps
