,title,price,description,link,Image,categorie
21,ALMAFLORE HUILE D’AMANDE DOUCE 50ML,9.450 TND TTC,"

Visage:  Cette huile est destiné pour toutes les peaux : peaux sèches, ternes et même ridées. 
Elle peut être utilisé pour les enfants.
Cheveux: Elle est très utile pour les cheveux secs, rêches, crêpés, cassants et fourchus
Corps: Elle se présente comme une base pour les huiles corporelles nourrissantes et parfumées. Elle est également un très bon soin pour les mains.

",https://anais.tn/produit/almaflore-huile-damande-douce-50ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-amande-douce-min.jpg,Cheveux
22,ALMAFLORE HUILE D’ARGAN 10ML,6.200 TND TTC,"

Visage: toutes peaux, peaux sèches, protection climatique (vent, froid, sécheresse)

Cheveux: secs et ternes, cassants, pellicules, colorés

Corps: base pour huiles corporelles nourrissantes et parfumées, soins des mains, ongles abimé

",https://anais.tn/produit/almaflore-huile-dargan-10ml/,https://anais.tn/wp-content/uploads/2020/10/anais-parapharmacie-argan-min.png,Cheveux
23,ALMAFLORE HUILE D’ARGAN 50ML,23.100 TND TTC,"

Visage: toutes peaux, peaux sèches, protection climatique (vent, froid, sécheresse)

Cheveux: secs et ternes, cassants, pellicules, colorés

Corps: base pour huiles corporelles nourrissantes et parfumées, soins des mains, ongles abimé

",https://anais.tn/produit/almaflore-huile-dargan-50ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-argan-min.jpg,Cheveux
24,ALMAFLORE HUILE D’ORTIE 50ML,13.290 TND TTC,"

Pour la peau: Elle est idéale pour les peaux sèches puisqu’elle est nourrissante ,elle s’utilise également en cas d’eczéma
Pour les cheveux: Elle favorise la croissance des cheveux tout en stimulant la circulation sanguine  il est conseillé de (faire un massage au niveau du cuir chevelu pendant quelques minutes)
 Elle se présente comme un antichute naturel
Elle fortifie et nourrit  les cheveux secs

",https://anais.tn/produit/almaflore-huile-dortie-50ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-d-ortie-30-ml.jpg,Cheveux
25,ALMAFLORE HUILE D’AIL 10 ML,4.100 TND TTC,"

Avec ses nombreux dérivés soufrés, l’ail conviendra particulièrement pour stimuler la croissance des cheveux crépus, à tendance à se casser plus facilement et à pousser plus lentement. 
Permet au cheveux crépus de pousser et réhydrate en profondeur les cheveux secs et cassants et recrée le phénomène de la kératisation.

",https://anais.tn/produit/almaflore-huile-dail-10-ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-d-ail-min.jpg,Cheveux
26,ALMAFLORE HUILE D’AIL 50ML,10.590 TND TTC,"

Avec ses nombreux dérivés soufrés, l’ail conviendra particulièrement pour stimuler la croissance des cheveux crépus, à tendance à se casser plus facilement et à pousser plus lentement
Permet au cheveux crépus de pousser et réhydrate en profondeur les cheveux secs et cassants et recrée le phénomène de la kératisation

",https://anais.tn/produit/almaflore-huile-dail-50ml/,https://anais.tn/wp-content/uploads/2020/10/dail-1.jpg,Cheveux
27,ALMAFLORE HUILE DE CRESSON 10 ML,4.900 TND TTC,"

Soin de la peau.
Soins des cheveux.
En massage corporel.
Massage des jambes, des pieds et des muscles.
Antiride et antisudorale.
Désinfectante, astringente et revitalisante.
Masque pour peaux grasses.

",https://anais.tn/produit/almaflore-huile-de-cresson-10-ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-essentielle-de-tea-tree-bio-10ml-min.jpg,Cheveux
28,ALMAFLORE HUILE DE FENUGREC 10ML,4.900 TND TTC,"

Pour les cheveux: elle nourrit et adoucit les cheveux secs et cassants, elle fortifie les cheveux fragiles.
 Elle est aussi connue pour lutter contre la chute des cheveux et stimuler leur pousse
L’huile de fenugrec est réputée pour nourrir et raffermir la peau, elle est recommandée en particulier pour le soin du buste.

",https://anais.tn/produit/almaflore-huile-de-fenugrec-10ml/,https://anais.tn/wp-content/uploads/2020/10/anais-para-fenugrec-min.jpg,Cheveux
29,ALMAFLORE HUILE DE FENUGREC 50ML,13.500 TND TTC,"

Pour les cheveux: elle nourrit et adoucit les cheveux secs et cassants, elle fortifie les cheveux fragiles
 Elle est aussi connue pour lutter contre la chute des cheveux et stimuler leur pousse
L’huile de fenugrec est réputée pour nourrir et raffermir la peau, elle est recommandée en particulier pour le soin du buste

",https://anais.tn/produit/almaflore-huile-de-fenugrec-50ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-fenugrec-50ml.jpg,Cheveux
30,ALMAFLORE HUILE DE JOJOBA 10ML,8.480 TND TTC,"

Visage:  cette huile est destiné pour les peaux grasses, acnéiques, sèches ou matures. Elle est efficace même pour les enfants.

Cheveux: elle est utilisé pour les cheveux gras, cassantes et les cheveux ternes.

Corps: l’huile de jojoba est idéale pour les huiles de massages.

",https://anais.tn/produit/almaflore-huile-de-jojoba-10ml/,https://anais.tn/wp-content/uploads/2020/10/jojoba-10ml-min-1.png,Cheveux
31,ALMAFLORE HUILE DE JOJOBA 50ML,21.980 TND TTC,"

Visage:  cette huile est destiné pour les peaux grasses, acnéiques, sèches ou matures. Elle est efficace même pour les enfants

Cheveux: elle est utilisé pour les cheveux gras, cassantes et les cheveux ternes

Corps: l’huile de jojoba est idéale pour les huiles de massages

",https://anais.tn/produit/almaflore-huile-de-jojoba-50ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-jojoba-bio-50ml.jpg,Cheveux
32,ALMAFLORE HUILE DE NIGELLE 10ML,4.000 TND TTC,"

Elle est idéale pour les peaux sèches, abimées, irritées et matures ainsi qu’elle renforce la fibre capillaire et ralentit la chute de cheveux.

",https://anais.tn/produit/almaflore-huile-de-nigelle-10ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-nigelle-10-ml-1.jpg,Cheveux
33,ALMAFLORE HUILE DE NIGELLE 50ML,9.260 TND TTC,"

Elle est idéale pour les peaux sèches, abimées, irritées et matures ainsi qu’elle renforce la fibre capillaire et ralentit la chute de cheveux

",https://anais.tn/produit/almaflore-huile-de-nigelle-50ml/,https://anais.tn/wp-content/uploads/2020/10/huile-de-nigelle-50ml-almaflore-almaflore-huiles-serums.jpg,Cheveux
34,ALMAFLORE HUILE DE NOISETTE 10ML,4.950 TND TTC,"

Prévient ou atténue les vergetures et les cicatrices.
Assouplissante, redonne élasticité et tonicité à la peau.
Tonifie et purifie le cuir chevelu.

",https://anais.tn/produit/almaflore-huile-de-noisette-10ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-noisette-10ml.jpg,Cheveux
35,ALMAFLORE HUILE DE NOISETTE 50ML,10.980 TND TTC,"

Prévient ou atténue les vergetures et les cicatrices
Assouplissante, redonne élasticité et tonicité à la peau
Tonifie et purifie le cuir chevelu

",https://anais.tn/produit/almaflore-huile-de-noisette-50ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-noisette-50-ml.jpg,Cheveux
36,ALMAFLORE HUILE DE NOIX DE COCO 100ML,14.300 TND TTC,"

L’huile de noix de coco Almaflore est destiné pour les peaux sèches et les pointes des cheveux fourchues

",https://anais.tn/produit/almaflore-huile-de-noix-de-coco-100ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-noix-de-coco-100ml.jpg,Cheveux
37,ALMAFLORE HUILE DE NOIX DE COCO 10ML,3.650 TND TTC,"

L’huile de noix de coco Almaflore est destiné pour les peaux sèches et les pointes des cheveux fourchues.

",https://anais.tn/produit/almaflore-huile-de-noix-de-coco-10ml/,https://anais.tn/wp-content/uploads/2020/10/download.jpg,Cheveux
38,ALMAFLORE HUILE DE RICIN 10ML,3.850 TND TTC,"

Tonifie la fibre capillaire et favorise la repousse des cheveux.
Renforce les cils et les sourcils (plus de densité)
Hydrate et protège la fibre capillaire (effet soyeux).
Favorise la microcirculation du cuir chevelu.
Stimule la pousse et ralentit la chute.
Idéale pour les soins des cheveux fourchus.

",https://anais.tn/produit/almaflore-huile-de-ricin-10ml/,https://anais.tn/wp-content/uploads/2020/10/ALMAFLORE-HUILE-DE-RICIN-10ML.png,Cheveux
39,ALMAFLORE HUILE DE RICIN 50ML,10.950 TND TTC,"

Tonifie la fibre capillaire et favorise la repousse des cheveux
Renforce les cils et les sourcils (plus de densité)
Hydrate et protège la fibre capillaire (effet soyeux)
Favorise la microcirculation du cuir chevelu
Stimule la pousse et ralentit la chute
Idéale pour les soins des cheveux fourchus

",https://anais.tn/produit/almaflore-huile-de-ricin-50ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-de-ricin-10-ml.jpg,Cheveux
