title,price,description,link,Image,categorie
"PHYTOREMED HUILE DE MASSAGE MINCEUR ET FERMETÉ, 100ML",16.400 TND TTC,"

Le massage remodelant et drainant lisse la peau, stimule les échanges du tissu cutané pour redonner élasticité et tonus aux peaux atones et permet d’aider d’atténuer les signes de relâchement et de vergetures.

",https://anais.tn/produit/phytoremed-huile-de-massage-minceur-et-fermete-100ml/,https://anais.tn/wp-content/uploads/2020/08/huile-de-massage-sensuelle-aphrodisiaque-100ml-phytoremed-1.jpg,Autre
PHYTOREMED TISANE MINCEUR 70GR,9.980 TND TTC,"

Phytoremed tisane minceur bio cette infusion contribue à brûler les graisse, éliminer l’eau et les toxines qui sont responsables du stockage des kilos superflus.
 Une tisane naturelle et bio qui favorise la digestion et le confort après les repas, et aide à lutter contre l’obésité et la cellulite.
Elle accompagne vos cures d’amincissement pour un résultat optimale.

",https://anais.tn/produit/phytoremed-tisane-minceur-70gr/,https://anais.tn/wp-content/uploads/2020/08/PHYTOREMED-TISANE-MINCEUR-compressed.jpg,Autre
PHYTOTHERA GROSSIVIT 60 GÉLULES,15.450 TND TTC,"

Améliore la digestion
 Facilite la prise de poids
 Favorise la bonne croissance
COMPOSITION : Levure de bière, Pollen, Fenugrec, Talc alimentaire 

",https://anais.tn/produit/grossivit-60-gellules/,https://anais.tn/wp-content/uploads/2021/04/20210415_104245-removebg-preview.png,Autre
PHYTOTHERA VINAIGRE DE CIDRE 250ML,8.000 TND TTC,"

Facilite la diurèse et augmente l’élimination de l’acide urique (uricolytique).
Action anti-dépressive
Pouvoir anticholestérolémiant, et favorise l’assimilation du calcium.
Effet dépuratif sanguin général et “rajeunissant” cellulaire.

",https://anais.tn/produit/phytothera-vinaigre-de-cidre-250ml/,https://anais.tn/wp-content/uploads/2021/04/PHYTOTHERA-VINAIGRE-DE-CIDRE-250ML-500x500-removebg-preview-compressed.jpg,Autre
VITAL LIFT CAFÉINE GE-+,17.500 TND TTC,"

Mincivit + est un gel qui aide l’organisme à éliminer les graisses et à réduire la cellulite. 
Il prévient aussi l’apparition des vergetures.
 Sa texture gel qui lui permet de pénétrer facilement est alliée à une formule spécifique qui permet un drainage et un affinement efficace.

Une application agréable grâce à une légère odeur délicate qui permet en plus de l’effet amincissant renforce l’élasticité de l’épiderme et tonifie les tissus.

",https://anais.tn/produit/vital-lift-cafeine-gel/,https://anais.tn/wp-content/uploads/2020/09/unnamed.jpg,Autre
VITAL PHYTOTHERA AIDE MINCEUR 30 GÉLULES,17.900 TND TTC,"




Phytothéra aide minceur a une action au niveau de l’estomac qu’il rempli en gélifiant l’eau : d’où l’effet coupe faim.
 Le gel ainsi formé permet d’obtenir une sensation de satiété.




",https://anais.tn/produit/vital-phytothera-aide-minceur-30-gelules/,https://anais.tn/wp-content/uploads/2020/08/phytothera-aide-minceur-30-gelules-1.jpg,Autre
VITAL PHYTOTHERA GUARANA 30 GELULES,14.280 TND TTC,"

En effet, le guarana facilite l’amincissement dans le cadre d’un régime minceur en combattant les excès de poids.
 Ses propriétés anti-fatigue se révèlent être un précieux atout pour pallier les baisses de forme en période de régime.

",https://anais.tn/produit/vital-phytothera-guarana-30-gelules/,https://anais.tn/wp-content/uploads/2020/08/guarana.jpg,Autre
VITAL PHYTOTHERA HUILE MINCEUR 60ML,13.700 TND TTC,"

Huile amincissante pour massage des zones concernées (ventre, cuisse, hanches)
Prévention des vergetures

",https://anais.tn/produit/vital-phytothera-huile-minceur-60ml/,https://anais.tn/wp-content/uploads/2020/08/3572-phytothera-huile-minceur-60ml-500x500-1.jpg,Autre
VITAL PHYTOTHERA PECTINE DE POMME 30 GÉLULES,14.400 TND TTC,"

Modère l’appétit et agit comme un coupe faim.
Procure un confort intestinal et prévient la constipation chronique.
Réduit le cholestérol et diminue les risques des maladies coronarienne.
Modère la glycémie et diminue les risques du diabète.

",https://anais.tn/produit/vital-phytothera-pectine-de-pomme-30-gelules/,https://anais.tn/wp-content/uploads/2020/08/phytothera-pectine-de-pomme-30-gelules.jpg,Autre
VITARMONYL AQUALIGNE – DRAINEUR,44.800 TND TTC,"

Activer un programme Detox, Queue de cerise, Cassis, Bardane, Reine des prés, Artichaut, Thé vert… : 14 plantes favorisant un drainage d’ensemble en profondeur pour vous aider à éliminer les toxines accumulées dans votre corps.
Lutter contre la Cellulite, Marc de raisin : Une plante aidant à désinfiltrer les tissus pour vous aider à retrouver un corps purifié et tonifié, une silhouette allégée et remodelée

",https://anais.tn/produit/vitarmonyl-aqualigne-draineur-400ml/,https://anais.tn/wp-content/uploads/2020/05/VITARMONYL-AQUALIGNE-DRAINEUR-NEW.jpg,Autre
VITARMONYL AQUALIGNE – MINCEUR GOUT AGRUMES,44.800 TND TTC,"

Brûler les graisses : Le Guarana aide à destocker les graisses de réserve.
Éliminer l’eau et les toxines : Le Thé vert contribue à l’élimination rénale de l’eau favorisant ainsi le drainage de l’organisme.

",https://anais.tn/produit/vitarmonyl-aqualigne-minceur-agrumes/,https://anais.tn/wp-content/uploads/2020/05/Aqualigne-bruleur-et-draineur-2016.jpg,Autre
VITARMONYL AQUALIGNE – MINCEUR GOUT CASSIS,44.800 TND TTC,"

Brûler les graisses : Le Guarana aide à destocker les graisses de réserve.
Éliminer l’eau et les toxines : Le Thé vert contribue à l’élimination rénale de l’eau favorisant ainsi le drainage de l’organisme

",https://anais.tn/produit/vitarmonyl-aqualigne-minceur/,https://anais.tn/wp-content/uploads/2020/05/Aqualigne-bruleur-et-draineur-2016.jpg,Autre
VITARMONYL BIORIGINE – CAFÉ BRÛLE GRAISSE,29.950 TND TTC,"

Le café Biorigine Brûle-graisse allie les propriétés stimulantes d’un café pur Arabica aux bienfaits reconnus du guarana.
Le guarana est un arbuste originaire d’Amérique du Sud dont les grains contiennent plus de caféine que ceux du café.
Il aide à brûler et éliminer les graisses afin de stopper les kilos superflus.

",https://anais.tn/produit/vitarmonyl-biorigine-cafe-brule-graisse-boite-12-sachets/,https://anais.tn/wp-content/uploads/2020/05/cafe.jpg,Autre
VITARMONYL KILO OFF,35.950 TND TTC,"

 Brûler les graisses : Le thé vert, le guarana, les extraits de café vert et de maté vous aident à éliminer les graisses en encourageant leur combustion. 1 sachet fournit 25 mg de chacun de ces extraits, c’est-à-dire 100 mg d’extraits de plantes riches en caféine (5 mg par sachet).
En plus de brûler les graisses, Kilo Off a un effet stimulant grâce à 10 vitamines qui fournissent chacune 100% de l’apport journalier recommandé.
Évacuer l’eau et les toxines : Les extraits de queue de cerise, de reine-des-prés, de marc de raisin et de zeste d’orange contribuent à réduire la rétention d’eau et de toxines dans les tissus et à stimuler la microcirculation afin de combattre la rétention d’eau et la cellulite. 1 sachet fournit 25 mg de chacun de ces extraits, c’est-à-dire 100 mg d’extraits de plantes.
Garder un ventre plat : Les extraits d’ananas et de papaye aident à stimuler la
digestion en réduisant les ballonnements, contribuant ainsi à votre bien-être digestif et vous procurant une sensation de légèreté. 1 sachet fournit 80 mg d’extrait d’ananas et 20 mg d’extrait de papaye.
Réduit la sensation de faim : Les pectines de pomme et d’agrumes et la gomme de guar contribuent à calmer la faim et l’envie de grignoter entre les repas. 1 sachet fournit 300 mg de pectine d’agrumes, 100 mg de pectine de pomme, 200 mg de gomme de guar et aussi 25ug de chromium.

",https://anais.tn/produit/vitarmonyl-kilo-off/,https://anais.tn/wp-content/uploads/2020/05/kilo-off-minceur-vitarmonyl-boite-10-sachets.jpg,Autre
VITARMONYL LEVURE DE BIERE,29.890 TND TTC,"

Les vitamines du groupe B associées à la levure de bière ont une action optimale sur la beauté.
 La vitamine B8 participe au maintien de la santé de la peau et aide à conserver des cheveux vigoureux.

",https://anais.tn/produit/vitarmonyl-levure-de-biere-2/,https://anais.tn/wp-content/uploads/2021/04/Vitarmonyl-Levure-de-biere-selenium-zinc__1_-removebg-preview-compressed-1.jpg,Autre
VITARMONYL THÉ MINCEUR BIORIGINE,23.900 TND TTC,"

Boire du thé est utile au quotidien et apporte une aide dans le cadre d’un programme minceur.
Le thé vert et le thé Oolong favorisent l’élimination rénale de l’eau.
Les feuilles de thés et l’écorce d’orange contribuent à brûler les graisses de réserve.
Le cynorhodon, grâce à son action stimulante, aide à lutter contre la fatigue souvent observée lors d’un régime amincissant.
La menthe favorise la digestion et l’élimination des gaz intestinaux, sources de ballonnement.

",https://anais.tn/produit/vitarmonyl-the-minceur-biorigine/,https://anais.tn/wp-content/uploads/2020/05/TH2-BIORIGINE.jpg,Autre
VITARMONYL TURBO MINCEUR CASSIS 400ML,44.800 TND TTC,"

Aqualigne Turbo Minceur vous accompagne dans un programme minceur. Il est recommandé de boire 1,5 litres d’eau par jour et Turbo Minceur permet d’allier le plaisir de boire à l’objectif minceur.
Sa formule concentrée associant des plantes minceur à un agréable goût cassis offre une double action.
1 – Brûler les graisses
Le guarana aide à déstocker les graisses de réserves.
2 – Eliminer l’eau et les toxines
Le thé vert, connu pour ses vertus dans la minceur, contribue à l’élimination rénale de l’eau favorisant le bon drainage de l’organisme.
Son format original, à boire et son délicieux goût cassis, rendent le programme minceur agréable à suivre et motivant.

",https://anais.tn/produit/turbo-minceur-cassis-vitarmonyl-400ml/,https://anais.tn/wp-content/uploads/2021/04/35357ff483deb6860d6de4605f21923d62255db8_AMB10_3.jpg,Autre
